CITY,COUNTY
SAN FRANCISCO,SAN FRANCISCO
DALY CITY,SAN MATEO
SAN MATEO,SAN MATEO
REDWOOD CITY,SAN MATEO
SOUTH SAN FRANCISCO,SAN MATEO
SAN BRUNO,SAN MATEO
PACIFICA,SAN MATEO
MENLO PARK,SAN MATEO
FOSTER CITY,SAN MATEO
BURLINGAME,SAN MATEO
SAN CARLOS,SAN MATEO
EAST PALO ALTO,SAN MATEO
BELMONT,SAN MATEO
MILLBRAE,SAN MATEO
NORTH FAIR OAKS,SAN MATEO
HALF MOON BAY,SAN MATEO
HILLSBOROUGH,SAN MATEO
ATHERTON,SAN MATEO
EL GRANADA,SAN MATEO
WOODSIDE,SAN MATEO
PORTOLA VALLEY,SAN MATEO
BRISBANE,SAN MATEO
EMERALD LAKE HILLS,SAN MATEO
BROADMOOR,SAN MATEO
HIGHLANDS-BAYWOOD PARK,SAN MATEO
WEST MENLO PARK,SAN MATEO
MOSS BEACH,SAN MATEO
MONTARA,SAN MATEO
COLMA,SAN MATEO
LADERA,SAN MATEO
LA HONDA,SAN MATEO
PESCADERO,SAN MATEO
LOMA MAR,SAN MATEO
SAN GREGORIO,SAN MATEO
EMERALD HILLS,SAN MATEO
OAKLAND,ALAMEDA
FREMONT,ALAMEDA
HAYWARD,ALAMEDA
BERKELEY,ALAMEDA
SAN LEANDRO,ALAMEDA
LIVERMORE,ALAMEDA
ALAMEDA,ALAMEDA
PLEASANTON,ALAMEDA
UNION CITY,ALAMEDA
CASTRO VALLEY,ALAMEDA
DUBLIN,ALAMEDA
NEWARK,ALAMEDA
SAN LORENZO,ALAMEDA
ASHLAND,ALAMEDA
ALBANY,ALAMEDA
CHERRYLAND,ALAMEDA
PIEDMONT,ALAMEDA
EMERYVILLE,ALAMEDA
FAIRVIEW,ALAMEDA
SUNOL,ALAMEDA
SAN JOSE,SANTA CLARA
SUNNYVALE,SANTA CLARA
SANTA CLARA,SANTA CLARA
MOUNTAIN VIEW,SANTA CLARA
MILPITAS,SANTA CLARA
PALO ALTO,SANTA CLARA
CUPERTINO,SANTA CLARA
GILROY,SANTA CLARA
CAMPBELL,SANTA CLARA
MORGAN HILL,SANTA CLARA
SARATOGA,SANTA CLARA
LOS GATOS,SANTA CLARA
LOS ALTOS,SANTA CLARA
ALUM ROCK,SANTA CLARA
STANFORD,SANTA CLARA
EAST FOOTHILLS,SANTA CLARA
LOS ALTOS HILLS,SANTA CLARA
SAN MARTIN,SANTA CLARA
BURBANK,SANTA CLARA
MONTE SERENO,SANTA CLARA
CAMBRIAN PARK,SANTA CLARA
LOYOLA,SANTA CLARA
LEXINGTON HILLS,SANTA CLARA
FRUITDALE,SANTA CLARA